孟泽智,说,，到了最后交货的时候，却在“卖相”上被客户挑剔，最后只能压低价格出售。与国外客户的多番接触，加上被压价的“惨痛”经历，如今孟泽智总结出了一套保证蔬菜好“卖相”的办法：“以前我们的彩椒种子一粒三四分钱，现在都换成了进口的，一粒就要８毛钱。”孟泽智拿着一袋只有巴掌大小、价值却近千元的种子给记者算账：“以前每粒种子只能结出１公斤彩椒，现在能出４公斤多，卖价也比以前翻了一番。”孟泽智请来了技术人员给农户指导，还编制了种植手册，发到农户手中，对蔬菜的行距、株距都作了误差不超过两厘米的规定。他的做法得到了当地农民的赞成和支持。武威市民勤县苏武乡羊路村的合作社代表许尔财，今年与孟泽智签订了１００座大棚的出口蔬菜种植合同，初步估算能够为合作社百户农民带来户均６万元的收入。许尔财说：“虽然比以前操心的事情多了，但能赚到更多的钱，我们种植的积极性都很高。”（完）
许尔财,说,，到了最后交货的时候，却在“卖相”上被客户挑剔，最后只能压低价格出售。与国外客户的多番接触，加上被压价的“惨痛”经历，如今孟泽智总结出了一套保证蔬菜好“卖相”的办法：“以前我们的彩椒种子一粒三四分钱，现在都换成了进口的，一粒就要８毛钱。”孟泽智拿着一袋只有巴掌大小、价值却近千元的种子给记者算账：“以前每粒种子只能结出１公斤彩椒，现在能出４公斤多，卖价也比以前翻了一番。”孟泽智请来了技术人员给农户指导，还编制了种植手册，发到农户手中，对蔬菜的行距、株距都作了误差不超过两厘米的规定。他的做法得到了当地农民的赞成和支持。武威市民勤县苏武乡羊路村的合作社代表许尔财，今年与孟泽智签订了１００座大棚的出口蔬菜种植合同，初步估算能够为合作社百户农民带来户均６万元的收入。许尔财说：“虽然比以前操心的事情多了，但能赚到更多的钱，我们种植的积极性都很高。”（完）
刘中会,介绍,，山东由省委书记、省长担任总河长，省委副书记、常务副省长、分管农业农村工作的副省长担任副总河长，并在黄河、大汶河、泗河等１６条骨干河道干流及南四湖、东平湖设立省级河长，由１０位省级领导担任。山东省河长制办公室设在山东省水利厅，山东省委组织部、山东省环保厅等２６个部门（单位）为成员单位。山东省水利厅副厅长赵青表示，山东河湖众多，流域面积５０平方公里以上的河流有１０４９条，常年水面面积１平方公里以上的湖泊有８个，各类水库６４２４座。全面实行河长制，将有效改善山东省河湖管理保护现状。（完）
赵青,表示,，山东河湖众多，流域面积５０平方公里以上的河流有１０４９条，常年水面面积１平方公里以上的湖泊有８个，各类水库６４２４座。全面实行河长制，将有效改善山东省河湖管理保护现状。（完）
陈向阳,介绍,，该市体育用品制造业的年销售额已逾２００亿元人民币，成为新的增长点。今年，永康市被国家体育总局批准为国家体育产业示范基地。永康五金闻名遐迩。这个地处浙江中部的县级市，拥有一万余家五金制造企业，也是中国最大的五金产品集散中心。记者采访了解到，永康体育用品制造从早年生产滑板车起步，逐渐拓展到健身器械、山地车等产品种类。尤其近年来，当地政府因势利导，加大政策扶持力度，快速形成了体育用品制造为特色的体育产业企业集群。浙江飞神车业有限公司被国家体育总局命名为国家体育产业示范单位。公司总裁陈向阳介绍，２０１６年，飞神投资１０亿元建成年产５万辆大排量全地形车自动化生产线，成为目前国内最大的休闲运动车制造基地之一，产品远销欧美、亚太等５０多个国家与地区。“目前，全市有体育用品制造相关企业１４２９家，形成了各类休闲车、室内外健身器材、无人机、房车、动力冲浪艇、渔具、户外休闲用品等１２个门类，逾１０００种产品。”永康市体育发展局局长林震说，市政府每年安排６００万元发展引导资金，还在体育发展局增设产业科，负责体育产业的发展和提升。２０１６年，永康体育用品制造业占全市ＧＤＰ比重达到８．７％。记者在浙江天鑫运动器材有限公司看到，电动跑步器和蹦床的生产线一片繁忙。该公司董事长俞振贤说，今年产品订单已排到了１０月份，预计年销售额可超４亿元。“永康五金制造业的强大基础，为发展体育用品制造赢得竞争优势。而近年体育消费潮流兴起使得当地越来越多企业向体育用品制造转型升级。”林震说，目前，永康市制订出以高端运动装备制造业为核心的体育产业发展战略，把体育用品制造业作为扶持重点，努力建成具有国际品质的全国高端运动休闲装备样板区。（完）
俞振贤,说,，市政府每年安排６００万元发展引导资金，还在体育发展局增设产业科，负责体育产业的发展和提升。２０１６年，永康体育用品制造业占全市ＧＤＰ比重达到８．７％。记者在浙江天鑫运动器材有限公司看到，电动跑步器和蹦床的生产线一片繁忙。该公司董事长俞振贤说，今年产品订单已排到了１０月份，预计年销售额可超４亿元。“永康五金制造业的强大基础，为发展体育用品制造赢得竞争优势。而近年体育消费潮流兴起使得当地越来越多企业向体育用品制造转型升级。”林震说，目前，永康市制订出以高端运动装备制造业为核心的体育产业发展战略，把体育用品制造业作为扶持重点，努力建成具有国际品质的全国高端运动休闲装备样板区。（完）
高志丹,说,，中国花样滑冰双人滑组合隋文静和韩聪在芬兰赫尔辛基花滑世锦赛上夺得双人滑冠军，成为我国第三对在世界顶级大赛上取得冠军的双人滑运动员。这个成绩的取得与党中央和全国人民的亲切关怀和鼓励是密不可分的。他说：“我们确实感觉到体育工作的使命非常光荣、责任非常重大。我们冰雪人也感到，备战２０２２年奥运会，我们一定要加倍努力，以实际行动恶补短板、保持优势，争取在北京冬奥会上用我们中国冰雪人的付出为实现一届精彩、非凡、卓越的冬奥会作出贡献。”冬运中心副主任刘成亮也表示，世锦赛上中国同时夺得双人滑金牌和男子单人滑铜牌，这在中国花样滑冰历史上是第一次。他说：“强项更强、恶补短板，就是优势项目要保持优势，把拔尖人才培养好；落后项目要尽快把短板补齐，争取全面参赛。”谈到“中芬冬季运动年”时，刘成亮表示，这对中国冰雪运动将是有力的促进。他说：“一是双方的相互学习，交流借鉴。比如说，中国国家滑雪队派到芬兰长期训练；咱们现在也在陆续聘请芬兰冬季项目的优秀教练员到国家队来执教。现在进行的场馆设施的建设也在向他们学习。下一步可以是双方队伍间的交流比赛，运动员间的交流，双方互访。”“还有一点，我觉得很重要的是，冰雪运动发展水平的一个重要支撑就是文化。芬兰拥有悠久的冰雪运动文化，芬兰有三分之一的国土在北极圈，自然条件非常好。我们要学习他们的冰雪文化来夯实我们群众冰雪运动的发展（基础）。”由于伤病的原因，隋文静和韩聪经过了一段漫长的“蛰伏期”，能够成功复出并且夺得金牌，隋文静表示“非常不容易”。她说：“大家也给了我们特别多的帮助，帮助我们一点一点走到这个顶点。是国家的力量推动了我们，所以我们才能走到这儿。”韩聪则表示：“现在我们对于２０１８年平昌冬奥会的方向更加坚定，我们运动员的内心也会更加强大。因为祖国是很强大的，才令我们运动员内心有底气，在赛场上有信心去拼搏，相信中国花样滑冰队在２０１８年平昌冬奥会上能取得更好的成绩。”力夺男单铜牌的金博洋则说，他要在２０１８年的冬奥会上再上一个台阶。他说：“我希望能够获得２０１８年奥运会中国男子单人滑的第一块奖牌，这是我的决心。２０２２年是在我们中国举行冬奥会，我也更加坚定地希望能够站在领奖台上。２０２２年将是我的黄金年龄。”（完）
刘成亮,表示,，２０１９年确立为“中芬冬季运动年”体现了一种博大的体育观，同时也赋予了体育工作新的使命。高志丹表示，２０１９年确立为“中芬冬季运动年”，体育的发展和冰雪运动的发展成为加强两国人文交流和友好关系的桥梁和纽带。这体现了一种博大的体育观——把体育上升到促进国家发展、世界和平、构建人类命运共同体，也赋予了体育工作新的使命。高志丹说，中国花样滑冰双人滑组合隋文静和韩聪在芬兰赫尔辛基花滑世锦赛上夺得双人滑冠军，成为我国第三对在世界顶级大赛上取得冠军的双人滑运动员。这个成绩的取得与党中央和全国人民的亲切关怀和鼓励是密不可分的。他说：“我们确实感觉到体育工作的使命非常光荣、责任非常重大。我们冰雪人也感到，备战２０２２年奥运会，我们一定要加倍努力，以实际行动恶补短板、保持优势，争取在北京冬奥会上用我们中国冰雪人的付出为实现一届精彩、非凡、卓越的冬奥会作出贡献。”冬运中心副主任刘成亮也表示，世锦赛上中国同时夺得双人滑金牌和男子单人滑铜牌，这在中国花样滑冰历史上是第一次。他说：“强项更强、恶补短板，就是优势项目要保持优势，把拔尖人才培养好；落后项目要尽快把短板补齐，争取全面参赛。”谈到“中芬冬季运动年”时，刘成亮表示，这对中国冰雪运动将是有力的促进。他说：“一是双方的相互学习，交流借鉴。比如说，中国国家滑雪队派到芬兰长期训练；咱们现在也在陆续聘请芬兰冬季项目的优秀教练员到国家队来执教。现在进行的场馆设施的建设也在向他们学习。下一步可以是双方队伍间的交流比赛，运动员间的交流，双方互访。”“还有一点，我觉得很重要的是，冰雪运动发展水平的一个重要支撑就是文化。芬兰拥有悠久的冰雪运动文化，芬兰有三分之一的国土在北极圈，自然条件非常好。我们要学习他们的冰雪文化来夯实我们群众冰雪运动的发展（基础）。”由于伤病的原因，隋文静和韩聪经过了一段漫长的“蛰伏期”，能够成功复出并且夺得金牌，隋文静表示“非常不容易”。她说：“大家也给了我们特别多的帮助，帮助我们一点一点走到这个顶点。是国家的力量推动了我们，所以我们才能走到这儿。”韩聪则表示：“现在我们对于２０１８年平昌冬奥会的方向更加坚定，我们运动员的内心也会更加强大。因为祖国是很强大的，才令我们运动员内心有底气，在赛场上有信心去拼搏，相信中国花样滑冰队在２０１８年平昌冬奥会上能取得更好的成绩。”力夺男单铜牌的金博洋则说，他要在２０１８年的冬奥会上再上一个台阶。他说：“我希望能够获得２０１８年奥运会中国男子单人滑的第一块奖牌，这是我的决心。２０２２年是在我们中国举行冬奥会，我也更加坚定地希望能够站在领奖台上。２０２２年将是我的黄金年龄。”（完）
刘成亮,表示,，２０１９年确立为“中芬冬季运动年”体现了一种博大的体育观，同时也赋予了体育工作新的使命。高志丹表示，２０１９年确立为“中芬冬季运动年”，体育的发展和冰雪运动的发展成为加强两国人文交流和友好关系的桥梁和纽带。这体现了一种博大的体育观——把体育上升到促进国家发展、世界和平、构建人类命运共同体，也赋予了体育工作新的使命。高志丹说，中国花样滑冰双人滑组合隋文静和韩聪在芬兰赫尔辛基花滑世锦赛上夺得双人滑冠军，成为我国第三对在世界顶级大赛上取得冠军的双人滑运动员。这个成绩的取得与党中央和全国人民的亲切关怀和鼓励是密不可分的。他说：“我们确实感觉到体育工作的使命非常光荣、责任非常重大。我们冰雪人也感到，备战２０２２年奥运会，我们一定要加倍努力，以实际行动恶补短板、保持优势，争取在北京冬奥会上用我们中国冰雪人的付出为实现一届精彩、非凡、卓越的冬奥会作出贡献。”冬运中心副主任刘成亮也表示，世锦赛上中国同时夺得双人滑金牌和男子单人滑铜牌，这在中国花样滑冰历史上是第一次。他说：“强项更强、恶补短板，就是优势项目要保持优势，把拔尖人才培养好；落后项目要尽快把短板补齐，争取全面参赛。”谈到“中芬冬季运动年”时，刘成亮表示，这对中国冰雪运动将是有力的促进。他说：“一是双方的相互学习，交流借鉴。比如说，中国国家滑雪队派到芬兰长期训练；咱们现在也在陆续聘请芬兰冬季项目的优秀教练员到国家队来执教。现在进行的场馆设施的建设也在向他们学习。下一步可以是双方队伍间的交流比赛，运动员间的交流，双方互访。”“还有一点，我觉得很重要的是，冰雪运动发展水平的一个重要支撑就是文化。芬兰拥有悠久的冰雪运动文化，芬兰有三分之一的国土在北极圈，自然条件非常好。我们要学习他们的冰雪文化来夯实我们群众冰雪运动的发展（基础）。”由于伤病的原因，隋文静和韩聪经过了一段漫长的“蛰伏期”，能够成功复出并且夺得金牌，隋文静表示“非常不容易”。她说：“大家也给了我们特别多的帮助，帮助我们一点一点走到这个顶点。是国家的力量推动了我们，所以我们才能走到这儿。”韩聪则表示：“现在我们对于２０１８年平昌冬奥会的方向更加坚定，我们运动员的内心也会更加强大。因为祖国是很强大的，才令我们运动员内心有底气，在赛场上有信心去拼搏，相信中国花样滑冰队在２０１８年平昌冬奥会上能取得更好的成绩。”力夺男单铜牌的金博洋则说，他要在２０１８年的冬奥会上再上一个台阶。他说：“我希望能够获得２０１８年奥运会中国男子单人滑的第一块奖牌，这是我的决心。２０２２年是在我们中国举行冬奥会，我也更加坚定地希望能够站在领奖台上。２０２２年将是我的黄金年龄。”（完）
安吉拉,说,。生长在俄罗斯的她小时候看成龙和李小龙的电影，从而对中国武术逐渐产生兴趣，感觉中国的武术和她从小练的舞蹈都有一种美感，而且比舞蹈还多了一种力量，这让她很痴迷。“如果有机会，我还会一直练下去。”这是3月30日，安吉拉在训练中。新华社记者王凯摄
